R,G,B
163.32296055169752,0.0,1.114945987654321
163.37716772762346,0.0,1.1295871913580247
163.40456259645063,0.0,1.1282325424382715
163.49339699074073,0.0,1.152023051697531
163.56311197916668,0.0,1.1572704475308642
163.6603554205247,0.0,1.1630507330246913
163.73365837191358,0.0,1.1788773148148148
163.85966483410493,0.0,1.1862784529320987
163.9087326388889,0.0,1.1975877700617283
163.96075327932098,0.0,1.2049175347222223
163.98477141203705,0.0,1.2065494791666667
164.08070167824073,0.0,1.2131992669753087
164.07580295138888,0.0,1.2160291280864197
164.1156500771605,0.0,1.2215287422839507
164.00699459876543,0.0,1.2260826581790123
163.23279224537038,0.0,1.1770433063271606
163.061272183642,0.0,1.1801707175925926
163.06167824074075,0.0,1.1955902777777778
163.18147714120371,0.0,1.1797270447530863
163.20591869212964,0.0,1.1969786844135804
163.26131606867284,0.0,1.207310474537037
163.46240885416665,0.0,1.2232658179012346
163.65363859953703,0.0,1.2196754436728394
163.69786458333334,0.0,1.2262297453703703
163.72542872299383,0.0,1.2210117669753087
163.75599729938273,0.0,1.2288319830246914
163.81979890046296,0.0,1.2323490547839506
163.8776774691358,0.0,1.2417298418209877
163.88994068287036,0.0,1.244942611882716
163.92478539737655,0.0,1.2392018711419752
163.9312287808642,0.0,1.2388358410493827
164.01505545910493,0.0,1.2512914737654321
164.05973861882717,0.0,1.2532190393518519
164.10323398919752,0.0,1.25203125
164.08767361111111,0.0,1.2559268904320988
164.15951485339505,0.0,1.2591801697530864
164.1351032021605,0.0,1.2563334297839506
163.87994357638888,0.0,1.1851914544753086
163.4319169560185,0.0,1.122281539351852
163.4181958912037,0.0,1.1382908950617283
163.44291618441358,0.0,1.1387543402777778
163.43319396219135,0.0,1.157719425154321
163.4666155478395,0.0,1.1525472608024692
163.4936713927469,0.0,1.1560074266975309
163.5079692322531,0.0,1.1544757908950618
163.52498408564816,0.0,1.1601605902777778
163.5308453896605,0.0,1.1564216820987654
163.57656153549382,0.0,1.1626765046296297
163.5960363618827,0.0,1.171254822530864
163.63433786651234,0.0,1.1843942901234568
163.6921836419753,0.0,1.1977633101851852
163.76185956790124,0.0,1.1986487268518518
163.83082899305555,0.0,1.2193687307098766
163.89363811728396,0.0,1.2263507908950617
163.9703587962963,0.0,1.196706211419753
163.97837770061727,0.0,1.1886540316358025
164.00788242669753,0.0,1.1648206018518519
164.01941020447532,0.0,1.1506978202160494
164.00869068287037,0.0,1.1583396026234567
164.00167004243826,0.0,1.1331958912037037
163.9601205632716,0.0,1.1359963348765432
163.92459056712963,0.0,1.137103587962963
163.87736786265432,0.0,1.136954089506173
163.84972125771606,0.0,1.1215977044753087
163.83679880401235,0.0,1.1453843557098766
163.83518422067903,0.0,1.147435860339506
163.8959519675926,0.0,1.1408043981481482
163.91591820987654,0.0,1.130381462191358
163.9445886381173,0.0,1.1468634259259258
163.9802160493827,0.0,1.1673316936728395
164.01388647762346,0.0,1.1723823302469136
164.11482445987653,0.0,1.1741840277777778
164.13411651234568,0.0,1.146436149691358
164.1692259837963,0.0,1.1285199652777778
164.1338430748457,0.0,1.1282773919753086
164.1923369984568,0.0,1.1342115162037036
164.18723090277777,0.0,1.1279793595679013
164.1770490933642,0.0,1.1177748842592592
164.1342761381173,0.0,1.1278534915123457
164.12786410108023,0.0,1.1152488425925926
164.08684027777778,0.0,1.1005222800925927
164.00858796296296,0.0,1.0933265817901234
163.90871913580247,0.0,1.0859789737654322
163.91142650462962,0.0,1.0999252507716049
163.9091763117284,0.0,1.0984413580246914
163.9112326388889,0.0,1.1015837191358024
163.90447771990742,3.08641975308642e-05,1.0868870563271604
163.92148051697532,0.0,1.0985768711419752
163.92234567901235,5.787037037037037e-06,1.1084273726851852
163.93085648148147,5.787037037037037e-06,1.11733699845679
163.94806182484567,5.787037037037037e-06,1.1182981288580247
163.9734370177469,0.0,1.1138401813271606
163.98653549382715,7.71604938271605e-06,1.1100660686728394
164.00038821373457,0.0,1.1134519675925927
163.99802662037038,0.0,1.1072096836419754
164.0459799382716,0.0,1.123461612654321
164.05478877314815,1.54320987654321e-05,1.1067756558641975
164.0697800925926,0.0,1.0964617091049382
164.06346691743826,8.439429012345679e-05,1.0975737847222222
164.08745611496914,0.0001335841049382716,1.102637924382716
164.07983748070987,0.0001726466049382716,1.0871812307098765
